1.5	4.4	0.21	16.9	0.5	554	8	#Ge
2.0	3.8	0.6	18.0	1	497	13	#CsI
2.5	2.5	0.5	18.7	0.6	549	10	#BGO
3.0	2.6	0.72	13.0	1	523	12	#NaI2x2
3.5	4.1	0.4	17.2	0.8	540	7	#NaI3x3
