0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	37
11	61
12	62
13	95
14	90
15	188
16	329
17	897
18	1463
19	1530
20	1087
21	725
22	390
23	151
24	31
25	21
26	10
27	7
28	6
29	6
30	5
31	10
32	9
33	10
34	12
35	7
36	8
37	8
38	15
39	10
40	12
41	20
42	8
43	22
44	25
45	39
46	47
47	39
48	35
49	31
50	20
51	18
52	25
53	26
54	15
55	29
56	30
57	33
58	30
59	32
60	31
61	37
62	30
63	57
64	52
65	95
66	103
67	137
68	209
69	294
70	338
71	355
72	316
73	272
74	177
75	108
76	57
77	20
78	13
79	9
80	7
81	7
82	11
83	5
84	9
85	7
86	4
87	3
88	7
89	6
90	5
91	7
92	5
93	9
94	13
95	7
96	12
97	8
98	13
99	8
100	5
101	14
102	9
103	8
104	4
105	1
106	7
107	7
108	7
109	8
110	2
111	12
112	5
113	8
114	5
115	6
116	4
117	3
118	6
119	6
120	9
121	4
122	9
123	6
124	6
125	9
126	6
127	8
128	9
129	4
130	10
131	6
132	12
133	7
134	10
135	6
136	7
137	10
138	3
139	6
140	5
141	4
142	3
143	9
144	5
145	3
146	2
147	5
148	4
149	4
150	6
151	3
152	3
153	8
154	14
155	8
156	5
157	8
158	4
159	5
160	4
161	3
162	5
163	6
164	3
165	2
166	5
167	6
168	4
169	1
170	7
171	7
172	5
173	5
174	7
175	8
176	5
177	6
178	3
179	5
180	4
181	1
182	6
183	5
184	3
185	3
186	3
187	3
188	5
189	1
190	4
191	1
192	4
193	1
194	4
195	4
196	3
197	2
198	5
199	7
200	3
201	4
202	2
203	4
204	4
205	3
206	3
207	5
208	1
209	1
210	3
211	5
212	4
213	3
214	3
215	7
216	1
217	6
218	0
219	1
220	3
221	2
222	2
223	6
224	3
225	0
226	0
227	2
228	1
229	1
230	2
231	3
232	2
233	1
234	2
235	0
236	3
237	2
238	4
239	6
240	2
241	4
242	1
243	3
244	2
245	1
246	2
247	1
248	1
249	3
250	1
251	2
252	3
253	2
254	3
255	7
256	2
257	5
258	0
259	1
260	0
261	5
262	4
263	3
264	1
265	4
266	2
267	3
268	3
269	2
270	2
271	3
272	5
273	0
274	1
275	1
276	4
277	1
278	2
279	4
280	1
281	4
282	2
283	1
284	1
285	5
286	2
287	2
288	2
289	3
290	3
291	0
292	2
293	0
294	1
295	3
296	0
297	2
298	1
299	4
300	1
301	1
302	1
303	1
304	2
305	4
306	4
307	4
308	2
309	4
310	2
311	2
312	2
313	1
314	3
315	5
316	1
317	2
318	3
319	2
320	1
321	1
322	5
323	1
324	0
325	3
326	1
327	0
328	0
329	1
330	3
331	0
332	2
333	2
334	2
335	0
336	1
337	1
338	2
339	0
340	1
341	2
342	5
343	2
344	4
345	2
346	0
347	1
348	6
349	2
350	3
351	0
352	0
353	0
354	3
355	3
356	2
357	0
358	2
359	2
360	3
361	2
362	2
363	2
364	1
365	0
366	3
367	0
368	0
369	2
370	1
371	2
372	2
373	0
374	3
375	3
376	4
377	2
378	0
379	3
380	1
381	1
382	0
383	1
384	2
385	2
386	1
387	1
388	0
389	3
390	0
391	1
392	3
393	0
394	1
395	5
396	2
397	2
398	0
399	1
400	2
401	0
402	2
403	0
404	1
405	1
406	1
407	0
408	1
409	2
410	2
411	1
412	3
413	0
414	3
415	0
416	0
417	7
418	2
419	0
420	1
421	2
422	3
423	0
424	2
425	1
426	0
427	0
428	1
429	0
430	2
431	0
432	2
433	0
434	2
435	1
436	1
437	1
438	0
439	1
440	0
441	3
442	1
443	0
444	1
445	1
446	2
447	3
448	1
449	1
450	1
451	0
452	2
453	3
454	1
455	2
456	2
457	1
458	0
459	1
460	2
461	0
462	0
463	2
464	1
465	1
466	0
467	0
468	1
469	1
470	1
471	2
472	0
473	0
474	2
475	0
476	1
477	1
478	1
479	0
480	5
481	2
482	1
483	0
484	0
485	1
486	0
487	1
488	1
489	3
490	2
491	1
492	1
493	1
494	0
495	0
496	1
497	1
498	1
499	0
500	2
501	3
502	0
503	1
504	1
505	1
506	0
507	0
508	0
509	0
510	1
511	1
512	0
513	1
514	1
515	2
516	0
517	0
518	1
519	1
520	0
521	1
522	0
523	2
524	2
525	2
526	0
527	1
528	0
529	0
530	1
531	0
532	1
